Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
156	Jordan Cousins	eng ENG	MF	Stoke City	25	1994	15.9	0.00	0.19	0.13	66.7	0.19	0.13	0.00	0.00	0.00	0.00	Matches
157	Martin Cranie	eng ENG	DF,MF	Luton Town	32	1986	18.8	0.11	0.16	0.16	100.0	0.16	0.16	0.67	0.67	0.00	0.00	Matches
158	Daniel Crowley	eng ENG	MF	Birmingham City	21	1997	27.8	0.04	1.44	0.36	25.0	1.44	0.36	0.03	0.10	0.00	0.00	Matches
159	Alessio da Cruz	cv CPV	FW,MF	Sheffield Weds	22	1997	7.6	0.00	1.32	0.13	10.0	1.31	0.13	0.00	0.00	0.00	0.00	Matches
160	Josh Cullen	ie IRL	MF	Charlton Athletic	23	1996	33.6	0.03	0.77	0.24	30.8	0.77	0.24	0.00	0.00	0.03	0.03	Matches
161	Liam Cullen	wls WAL	FW,MF	Swansea City	20	1999	0.5	2.00	2.00	2.00	100.0	2.20	2.20	1.00	1.00	0.00	0.00	Matches
162	Greg Cunningham	ie IRL	DF	Blackburn	28	1991	7.2	0.00	0.69	0.28	40.0	0.70	0.28	0.00	0.00	0.00	0.00	Matches
163	Bradley Dack	eng ENG	MF	Blackburn	25	1993	20.8	0.43	2.12	0.72	34.1	2.12	0.72	0.18	0.53	0.05	0.05	Matches
164	Stuart Dallas	nir NIR	DF,MF	Leeds United	28	1991	43.7	0.11	1.76	0.59	33.8	1.76	0.60	0.06	0.19	0.00	0.00	Matches
165	Henrik Dalsgaard	dk DEN	DF,MF	Brentford	30	1989	42.0	0.02	0.67	0.14	21.4	0.67	0.14	0.04	0.17	0.00	0.00	Matches
166	Matty Daly	eng ENG	MF	Huddersfield	18	2001	0.6	1.67	3.33	1.67	50.0	3.10	1.55	0.50	1.00	0.00	0.00	Matches
167	Donervon Daniels	ms MSR	DF	Luton Town	25	1993	2.1	0.48	0.48	0.48	100.0	0.47	0.47	1.00	1.00	0.00	0.00	Matches
168	Jay Dasilva	wls WAL	DF,MF	Bristol City	21	1998	21.8	0.00	0.32	0.09	28.6	0.32	0.09	0.00	0.00	0.00	0.00	Matches
169	Josh Dasilva	eng ENG	MF	Brentford	20	1998	33.1	0.30	1.78	0.69	39.0	1.78	0.69	0.15	0.39	0.03	0.03	Matches
170	Jacob Davenport	eng ENG	MF	Blackburn	20	1998	1.8	0.00	1.11	0.56	50.0	1.09	0.55	0.00	0.00	0.00	0.00	Matches
171	Adam Davies	wls WAL	GK	Stoke City	27	1992	4.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
