Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
103	Harrison Burrows	eng ENG	MF,DF	Peterborough	19	2002	37	29	2,614	29.0	0.10	0.24	0.34	0.10	0.00	0.00	0.14	0.00	0.10	0.24	0.34	0.10	0.34	Matches
104	Josef Bursik	eng ENG	GK	Stoke City	21	2000	19	19	1,710	19.0	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	Matches
105	Dan Butler	eng ENG	DF,MF	Peterborough	26	1994	22	19	1,664	18.5	0.00	0.05	0.05	0.00	0.00	0.00	0.32	0.00	0.00	0.05	0.05	0.00	0.05	Matches
106	Daniel Butterworth	eng ENG	FW	Blackburn	21	1999	11	1	260	2.9	0.00	0.00	0.00	0.00	0.00	0.00	0.34	0.00	0.00	0.00	0.00	0.00	0.00	Matches
107	David Button	eng ENG	GK	West Brom	32	1989	10	10	900	10.0	0.00	0.10	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.10	0.00	0.10	Matches
108	Nathan Byrne	eng ENG	DF	Derby County	29	1992	41	41	3,663	40.7	0.00	0.05	0.05	0.00	0.00	0.00	0.32	0.02	0.00	0.05	0.05	0.00	0.05	Matches
109	Ben Cabango	wls WAL	DF	Swansea City	21	2000	37	34	3,073	34.1	0.03	0.03	0.06	0.03	0.00	0.00	0.21	0.00	0.03	0.03	0.06	0.03	0.06	Matches
110	Rafael Cabral	br BRA	GK	Reading	31	1990	6	6	540	6.0	0.00	0.00	0.00	0.00	0.00	0.00	0.17	0.00	0.00	0.00	0.00	0.00	0.00	Matches
111	Cafú	pt POR	MF	Nottingham	28	1993	14	2	356	4.0	0.25	0.25	0.50	0.25	0.00	0.00	0.25	0.00	0.25	0.25	0.51	0.25	0.51	Matches
112	Gary Cahill	eng ENG	DF	Bournemouth	35	1985	22	21	1,939	21.5	0.00	0.05	0.05	0.00	0.00	0.00	0.19	0.05	0.00	0.05	0.05	0.00	0.05	Matches
