Rk	Player	Nation	Pos	Squad	Age	Born	90s	CrdY	CrdR	2CrdY	Fls	Fld	Off	Crs	Int	TklW	PKwon	PKcon	OG	Matches
105	Josef Bursik	eng ENG	GK	Stoke City	22	2000	16.0	0.06	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.00			0.00	Matches
106	David Button	eng ENG	GK	West Brom	33	1989	13.0	0.08	0.00	0.00	0.08	0.08	0.00	0.00	0.00	0.00			0.00	Matches
107	Jili Buyabu	eng ENG	MF	Sheffield United	20	2001	0.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			0.00	Matches
108	Sam Byram	eng ENG	DF	Norwich City	28	1993	12.0	0.42	0.00	0.00	0.92	0.83	0.00	0.75	1.00	1.50			0.00	Matches
109	Ben Cabango	wls WAL	DF	Swansea City	22	2000	41.6	0.26	0.02	0.02	0.89	0.60	0.02	0.07	0.87	0.91			0.05	Matches
110	Etienne Camara	fr FRA	MF	Huddersfield	19	2003	13.9	0.36	0.00	0.00	1.08	0.58	0.00	0.22	1.22	1.58			0.00	Matches
111	Mamadi Camará	gw GNB	MF	Reading	18	2003	1.2	0.00	0.00	0.00	0.83	0.83	0.00	2.50	0.00	3.33			0.00	Matches
112	Allan Campbell	sct SCO	MF	Luton Town	24	1998	36.1	0.17	0.00	0.00	1.30	0.61	0.03	0.39	0.94	1.19			0.00	Matches
113	Tate Campbell	eng ENG	MF	Birmingham City	20	2002	0.0	0	0	0	0	0	0	1	0	0			0	Matches
114	Tyrese Campbell	eng ENG	FW,MF	Stoke City	22	1999	29.5	0.14	0.00	0.00	1.02	0.64	0.37	3.15	0.54	0.41			0.00	Matches
115	Andy Cannon	eng ENG	MF	Hull City	26	1996	2.1	0.00	0.00	0.00	0.95	0.00	0.00	0.48	0.95	0.48			0.00	Matches
116	Tom Cannon	ie IRL	FW	Preston	19	2002	18.6	0.16	0.00	0.00	1.08	0.27	0.91	0.38	0.27	0.59			0.00	Matches
117	Todd Cantwell	eng ENG	FW,MF	Norwich City	24	1998	9.6	0.21	0.00	0.00	0.94	2.19	0.10	5.83	0.94	1.04			0.00	Matches
118	Sonny Carey	eng ENG	MF,FW	Blackpool	21	2001	27.2	0.04	0.04	0.00	0.63	1.07	0.07	2.21	0.37	0.77			0.00	Matches
119	Álvaro Carreras	es ESP	MF	Preston	19	2003	29.5	0.20	0.00	0.00	0.88	1.05	0.14	2.95	1.39	1.36			0.00	Matches
120	Andy Carroll	eng ENG	FW	Reading	33	1989	21.6	0.32	0.05	0.05	1.53	1.02	0.32	0.23	0.09	0.09			0.00	Matches
121	Hayden Carter	eng ENG	DF	Blackburn	22	1999	25.0	0.20	0.00	0.00	1.04	0.36	0.00	0.40	1.32	1.48			0.00	Matches
122	Cesare Casadei	it ITA	MF	Reading	19	2003	12.3	0.08	0.00	0.00	1.06	1.79	0.00	0.33	0.65	1.30			0.00	Matches
123	Craig Cathcart	nir NIR	DF	Watford	33	1989	25.2	0.08	0.00	0.00	0.60	0.12	0.00	0.40	1.23	0.56			0.00	Matches
124	Steven Caulker	sl SLE	DF	Wigan Athletic	30	1991	5.5	0.55	0.00	0.00	0.91	0.55	0.36	0.00	1.45	0.55			0.00	Matches
125	Bersant Celina	xk KVX	MF,FW	Stoke City	25	1996	2.9	0.00	0.00	0.00	0.34	0.69	0.00	4.14	0.34	0.69			0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	CrdY	CrdR	2CrdY	Fls	Fld	Off	Crs	Int	TklW	PKwon	PKcon	OG	Matches
126	Ilias Chair	ma MAR	MF,FW	QPR	24	1997	36.3	0.06	0.00	0.00	0.61	0.61	0.28	8.26	0.50	0.69			0.00	Matches
127	Nathaniel Chalobah	eng ENG	MF	West Brom	27	1994	6.8	0.44	0.00	0.00	1.47	1.47	0.00	0.44	1.62	0.74			0.00	Matches
128	Alfie Chang	eng ENG	MF	Birmingham City	19	2002	7.7	0.26	0.00	0.00	0.65	0.13	0.00	0.00	0.65	0.78			0.00	Matches
129	Ismaila Cheick Coulibaly	ml MLI	MF	Sheffield United	21	2000	0.0	0	0	0	0	0	0	0	0	0			0	Matches
130	Youssef Chentouf	eng ENG	FW	Wigan Athletic	18	2004	0.0	0	0	0	0	0	0	0	0	2			0	Matches
131	Tahith Chong	cw CUW	MF,FW	Birmingham City	22	1999	31.5	0.13	0.00	0.00	0.57	2.32	0.25	3.94	0.41	0.86			0.00	Matches
132	Hamza Choudhury	bd BAN	MF	Watford	24	1997	33.7	0.39	0.00	0.00	0.95	0.80	0.00	0.65	2.26	1.87			0.00	Matches
